Player,Team,Pos,Age,Club,Club_country,date,hour,category,opponent,Match_played,Starts,Minutes_played,Gls,Ast,Shots,shots_on_target,CrdY,CrdR,tackles_made,successful_tackles,interceptions,Blocks,fouls_commited,own_goal,pass_comp,pass_attempt,successful_dribbles,offside
Rodri,SPAIN,DF,25,Manchester City,eng,27 NOV 2022,20 : 00,Group E,GERMANY,4,4,390,0,0,1,0,0,0,5.0,2,3,3.0,5,0,642.0,689.0,0.0,0
Rodri,SPAIN,DF,25,Manchester City,eng,01 DEC 2022,20 : 00,Group E,JAPAN,4,4,390,0,0,1,0,0,0,5.0,2,3,3.0,5,0,642.0,689.0,0.0,0
Rodri,SPAIN,DF,25,Manchester City,eng,06 DEC 2022,16 : 00,Round of 16,MOROCCO,4,4,390,0,0,1,0,0,0,5.0,2,3,3.0,5,0,642.0,689.0,0.0,0
Unai Simón,SPAIN,GK,25,Athletic Club,es,23 NOV 2022,17 : 00,Group E,COSTA RICA,4,4,390,0,0,0,0,0,0,0.0,0,0,0.0,0,0,150.0,160.0,0.0,0
Unai Simón,SPAIN,GK,25,Athletic Club,es,27 NOV 2022,20 : 00,Group E,GERMANY,4,4,390,0,0,0,0,0,0,0.0,0,0,0.0,0,0,150.0,160.0,0.0,0
Unai Simón,SPAIN,GK,25,Athletic Club,es,01 DEC 2022,20 : 00,Group E,JAPAN,4,4,390,0,0,0,0,0,0,0.0,0,0,0.0,0,0,150.0,160.0,0.0,0
Unai Simón,SPAIN,GK,25,Athletic Club,es,06 DEC 2022,16 : 00,Round of 16,MOROCCO,4,4,390,0,0,0,0,0,0,0.0,0,0,0.0,0,0,150.0,160.0,0.0,0
Dani Olmo,SPAIN,FW,24,RB Leipzig,de,23 NOV 2022,17 : 00,Group E,COSTA RICA,4,4,367,1,1,12,6,0,0,5.0,3,1,5.0,5,0,162.0,198.0,4.0,2
Dani Olmo,SPAIN,FW,24,RB Leipzig,de,27 NOV 2022,20 : 00,Group E,GERMANY,4,4,367,1,1,12,6,0,0,5.0,3,1,5.0,5,0,162.0,198.0,4.0,2
Dani Olmo,SPAIN,FW,24,RB Leipzig,de,01 DEC 2022,20 : 00,Group E,JAPAN,4,4,367,1,1,12,6,0,0,5.0,3,1,5.0,5,0,162.0,198.0,4.0,2
Dani Olmo,SPAIN,FW,24,RB Leipzig,de,06 DEC 2022,16 : 00,Round of 16,MOROCCO,4,4,367,1,1,12,6,0,0,5.0,3,1,5.0,5,0,162.0,198.0,4.0,2
Sergio Busquets,SPAIN,MF,33,Barcelona,es,23 NOV 2022,17 : 00,Group E,COSTA RICA,4,4,363,0,0,2,0,1,0,7.0,4,1,2.0,3,0,261.0,289.0,1.0,0
Sergio Busquets,SPAIN,MF,33,Barcelona,es,27 NOV 2022,20 : 00,Group E,GERMANY,4,4,363,0,0,2,0,1,0,7.0,4,1,2.0,3,0,261.0,289.0,1.0,0
Sergio Busquets,SPAIN,MF,33,Barcelona,es,01 DEC 2022,20 : 00,Group E,JAPAN,4,4,363,0,0,2,0,1,0,7.0,4,1,2.0,3,0,261.0,289.0,1.0,0
Sergio Busquets,SPAIN,MF,33,Barcelona,es,06 DEC 2022,16 : 00,Round of 16,MOROCCO,4,4,363,0,0,2,0,1,0,7.0,4,1,2.0,3,0,261.0,289.0,1.0,0
Pedri,SPAIN,MF,19,Barcelona,es,23 NOV 2022,17 : 00,Group E,COSTA RICA,4,4,356,0,0,0,0,0,0,4.0,2,4,5.0,2,0,393.0,434.0,6.0,0
Pedri,SPAIN,MF,19,Barcelona,es,27 NOV 2022,20 : 00,Group E,GERMANY,4,4,356,0,0,0,0,0,0,4.0,2,4,5.0,2,0,393.0,434.0,6.0,0
Pedri,SPAIN,MF,19,Barcelona,es,01 DEC 2022,20 : 00,Group E,JAPAN,4,4,356,0,0,0,0,0,0,4.0,2,4,5.0,2,0,393.0,434.0,6.0,0
Pedri,SPAIN,MF,19,Barcelona,es,06 DEC 2022,16 : 00,Round of 16,MOROCCO,4,4,356,0,0,0,0,0,0,4.0,2,4,5.0,2,0,393.0,434.0,6.0,0
Gavi,SPAIN,MF,17,Barcelona,es,23 NOV 2022,17 : 00,Group E,COSTA RICA,4,4,284,1,0,1,1,0,0,8.0,4,1,3.0,9,0,133.0,154.0,3.0,0
Gavi,SPAIN,MF,17,Barcelona,es,27 NOV 2022,20 : 00,Group E,GERMANY,4,4,284,1,0,1,1,0,0,8.0,4,1,3.0,9,0,133.0,154.0,3.0,0
Gavi,SPAIN,MF,17,Barcelona,es,01 DEC 2022,20 : 00,Group E,JAPAN,4,4,284,1,0,1,1,0,0,8.0,4,1,3.0,9,0,133.0,154.0,3.0,0
Gavi,SPAIN,MF,17,Barcelona,es,06 DEC 2022,16 : 00,Round of 16,MOROCCO,4,4,284,1,0,1,1,0,0,8.0,4,1,3.0,9,0,133.0,154.0,3.0,0
Aymeric Laporte,SPAIN,DF,28,Manchester City,eng,23 NOV 2022,17 : 00,Group E,COSTA RICA,3,3,300,0,0,1,0,1,0,2.0,0,3,0.0,3,0,413.0,438.0,0.0,0
Aymeric Laporte,SPAIN,DF,28,Manchester City,eng,27 NOV 2022,20 : 00,Group E,GERMANY,3,3,300,0,0,1,0,1,0,2.0,0,3,0.0,3,0,413.0,438.0,0.0,0
Aymeric Laporte,SPAIN,DF,28,Manchester City,eng,01 DEC 2022,20 : 00,Group E,JAPAN,3,3,300,0,0,1,0,1,0,2.0,0,3,0.0,3,0,413.0,438.0,0.0,0
Aymeric Laporte,SPAIN,DF,28,Manchester City,eng,06 DEC 2022,16 : 00,Round of 16,MOROCCO,3,3,300,0,0,1,0,1,0,2.0,0,3,0.0,3,0,413.0,438.0,0.0,0
Jordi Alba,SPAIN,DF,33,Barcelona,es,23 NOV 2022,17 : 00,Group E,COSTA RICA,4,3,264,0,2,2,0,0,0,6.0,4,3,2.0,4,0,328.0,372.0,2.0,1
Jordi Alba,SPAIN,DF,33,Barcelona,es,27 NOV 2022,20 : 00,Group E,GERMANY,4,3,264,0,2,2,0,0,0,6.0,4,3,2.0,4,0,328.0,372.0,2.0,1
Jordi Alba,SPAIN,DF,33,Barcelona,es,01 DEC 2022,20 : 00,Group E,JAPAN,4,3,264,0,2,2,0,0,0,6.0,4,3,2.0,4,0,328.0,372.0,2.0,1
Jordi Alba,SPAIN,DF,33,Barcelona,es,06 DEC 2022,16 : 00,Round of 16,MOROCCO,4,3,264,0,2,2,0,0,0,6.0,4,3,2.0,4,0,328.0,372.0,2.0,1
Marco Asensio,SPAIN,FW,26,Real Madrid,es,23 NOV 2022,17 : 00,Group E,COSTA RICA,4,3,229,1,0,10,2,0,0,1.0,1,0,1.0,3,0,89.0,119.0,0.0,0
Marco Asensio,SPAIN,FW,26,Real Madrid,es,27 NOV 2022,20 : 00,Group E,GERMANY,4,3,229,1,0,10,2,0,0,1.0,1,0,1.0,3,0,89.0,119.0,0.0,0
Marco Asensio,SPAIN,FW,26,Real Madrid,es,01 DEC 2022,20 : 00,Group E,JAPAN,4,3,229,1,0,10,2,0,0,1.0,1,0,1.0,3,0,89.0,119.0,0.0,0
Marco Asensio,SPAIN,FW,26,Real Madrid,es,06 DEC 2022,16 : 00,Round of 16,MOROCCO,4,3,229,1,0,10,2,0,0,1.0,1,0,1.0,3,0,89.0,119.0,0.0,0
Ferrán Torres,SPAIN,FW,22,Barcelona,es,23 NOV 2022,17 : 00,Group E,COSTA RICA,4,3,217,2,0,3,1,0,0,0.0,0,0,1.0,1,0,59.0,85.0,1.0,2
Ferrán Torres,SPAIN,FW,22,Barcelona,es,27 NOV 2022,20 : 00,Group E,GERMANY,4,3,217,2,0,3,1,0,0,0.0,0,0,1.0,1,0,59.0,85.0,1.0,2
Ferrán Torres,SPAIN,FW,22,Barcelona,es,01 DEC 2022,20 : 00,Group E,JAPAN,4,3,217,2,0,3,1,0,0,0.0,0,0,1.0,1,0,59.0,85.0,1.0,2
Ferrán Torres,SPAIN,FW,22,Barcelona,es,06 DEC 2022,16 : 00,Round of 16,MOROCCO,4,3,217,2,0,3,1,0,0,0.0,0,0,1.0,1,0,59.0,85.0,1.0,2
César Azpilicueta,SPAIN,DF,32,Chelsea,eng,23 NOV 2022,17 : 00,Group E,COSTA RICA,2,2,135,0,1,0,0,0,0,1.0,0,1,2.0,2,0,171.0,181.0,0.0,0
César Azpilicueta,SPAIN,DF,32,Chelsea,eng,27 NOV 2022,20 : 00,Group E,GERMANY,2,2,135,0,1,0,0,0,0,1.0,0,1,2.0,2,0,171.0,181.0,0.0,0
César Azpilicueta,SPAIN,DF,32,Chelsea,eng,01 DEC 2022,20 : 00,Group E,JAPAN,2,2,135,0,1,0,0,0,0,1.0,0,1,2.0,2,0,171.0,181.0,0.0,0
César Azpilicueta,SPAIN,DF,32,Chelsea,eng,06 DEC 2022,16 : 00,Round of 16,MOROCCO,2,2,135,0,1,0,0,0,0,1.0,0,1,2.0,2,0,171.0,181.0,0.0,0
Álvaro Morata,SPAIN,FW,29,Atlético Madrid,es,23 NOV 2022,17 : 00,Group E,COSTA RICA,4,1,185,3,1,8,5,0,0,1.0,1,0,2.0,1,0,28.0,41.0,1.0,5
Álvaro Morata,SPAIN,FW,29,Atlético Madrid,es,27 NOV 2022,20 : 00,Group E,GERMANY,4,1,185,3,1,8,5,0,0,1.0,1,0,2.0,1,0,28.0,41.0,1.0,5
Álvaro Morata,SPAIN,FW,29,Atlético Madrid,es,01 DEC 2022,20 : 00,Group E,JAPAN,4,1,185,3,1,8,5,0,0,1.0,1,0,2.0,1,0,28.0,41.0,1.0,5
Álvaro Morata,SPAIN,FW,29,Atlético Madrid,es,06 DEC 2022,16 : 00,Round of 16,MOROCCO,4,1,185,3,1,8,5,0,0,1.0,1,0,2.0,1,0,28.0,41.0,1.0,5
Nico Williams,SPAIN,FW,19,Athletic Club,es,23 NOV 2022,17 : 00,Group E,COSTA RICA,4,1,146,0,0,1,0,0,0,4.0,2,0,2.0,0,0,50.0,63.0,5.0,1
Nico Williams,SPAIN,FW,19,Athletic Club,es,27 NOV 2022,20 : 00,Group E,GERMANY,4,1,146,0,0,1,0,0,0,4.0,2,0,2.0,0,0,50.0,63.0,5.0,1
Nico Williams,SPAIN,FW,19,Athletic Club,es,01 DEC 2022,20 : 00,Group E,JAPAN,4,1,146,0,0,1,0,0,0,4.0,2,0,2.0,0,0,50.0,63.0,5.0,1
Nico Williams,SPAIN,FW,19,Athletic Club,es,06 DEC 2022,16 : 00,Round of 16,MOROCCO,4,1,146,0,0,1,0,0,0,4.0,2,0,2.0,0,0,50.0,63.0,5.0,1
Dani Carvajal,SPAIN,DF,30,Real Madrid,es,23 NOV 2022,17 : 00,Group E,COSTA RICA,2,1,135,0,0,0,0,0,0,1.0,1,2,0.0,0,0,121.0,135.0,0.0,0
